game_id,player,board1,board2,action,result
4,1,357044945954,1790032614152,4,1
4,1,357045208098,1824392352520,0,1
4,1,357313643554,1824394449672,0,1
4,1,357313659938,4023417705224,6,1
4,1,374493529122,4023551922952,6,1
4,1,374494577698,4023551923080,0,1
4,1,374494577699,4023551923084,4,1
4,1,374494579747,4023551923100,6,1
4,2,274877906944,0,3,1
4,2,343597383680,2147483648,2,1
4,2,343614160896,139586437120,2,1
4,2,344151031808,140660178944,1,1
4,2,344159420416,140664373248,3,1
4,2,344159485952,140664504320,5,1
4,2,352749420544,1240176132096,5,1
4,2,352749944832,1240243240960,2,1
4,2,352749945856,1240243241472,3,1
4,2,352749978624,1240243241480,1,1
4,2,352749978626,1240243241736,5,1
4,2,352749978658,1240243245832,4,1
4,2,357044945954,1789999059720,4,1
4,2,357045208098,1790032614152,0,1
4,2,357313643554,1824392352520,0,1
4,2,357313659938,1824394449672,6,1
4,2,374493529122,4023417705224,6,1
4,2,374494577698,4023551922952,0,1
4,2,374494577699,4023551923080,2,1
4,2,374494579747,4023551923084,4,1
4,2,374494587939,4023551923100,6,1
5,1,0,0,3,2
5,1,274877906944,549755813888,4,2
5,1,279172874240,551903297536,3,2
5,1,279189651456,551936851968,3,2
5,1,279189782528,620656328704,1,2
5,1,279726653440,620656329728,4,2
5,1,279726915584,620660524032,1,2
5,1,279726948352,655020262400,4,2
5,1,279726950400,655288697856,2,2
5,1,417165903872,655290795008,0,2
5,1,417165920256,655290795016,2,2
5,1,418239662080,655290795032,2,2
5,2,274877906944,0,4,0
5,2,279172874240,549755813888,3,0
5,2,279189651456,551903297536,4,0
5,2,279189782528,551936851968,1,0
5,2,279726653440,620656328704,3,0
5,2,279726915584,620656329728,1,0
5,2,279726948352,620660524032,0,0
5,2,279726950400,655020262400,0,0
5,2,417165903872,655288697856,0,0
5,2,417165920256,655290795008,3,0
5,2,418239662080,655290795016,4,0
6,1,0,0,3,2
6,1,274877906944,68719476736,3,2
6,1,277025390592,68736253952,1,2
6,1,277562261504,618492067840,1,2
6,1,277566455808,622787035136,3,2
6,1,277566586880,622787067904,0,2
6,1,311926325248,623055503360,6,2
6,1,2510949580800,1722567131136,3,2
6,1,2510949581824,1739747000320,4,2
6,1,2510983136256,1748336934912,4,2
6,1,2510983398400,1748471152640,2,2
6,1,2648422351872,1748471154688,2,2
6,1,2649496093696,1748479543296,2,2
6,1,2649496159232,1748479543312,3,2
6,1,2649496159240,1748480591888,6,2
6,1,2649496167432,1748480591952,2,2
6,1,2649496167944,1748480591956,0,2
6,1,2649498265096,1748480608340,0,2
6,1,2649498265224,1748547717204,1,2
6,2,274877906944,0,1,0
6,2,277025390592,68719476736,3,0
6,2,277562261504,68736253952,4,0
6,2,277566455808,618492067840,4,0
6,2,277566586880,622787035136,1,0
6,2,311926325248,622787067904,0,0
6,2,2510949580800,623055503360,5,0
6,2,2510949581824,1722567131136,6,0
6,2,2510983136256,1739747000320,5,0
6,2,2510983398400,1748336934912,6,0
6,2,2648422351872,1748471152640,4,0
6,2,2649496093696,1748471154688,2,0
6,2,2649496159232,1748479543296,4,0
6,2,2649496159240,1748479543312,6,0
6,2,2649496167432,1748480591888,6,0
6,2,2649496167944,1748480591952,2,0
6,2,2649498265096,1748480591956,0,0
6,2,2649498265224,1748480608340,5,0
7,1,0,0,3,0
7,1,274877906944,2147483648,2,0
7,1,412316860416,70866960384,2,0
7,1,413390602240,70875348992,3,0
7,1,413407379456,70875414528,3,0
7,1,413407510528,620631228416,2,0
7,1,413407511040,620631229440,4,0
